idx,samples1,samples2
1284,-546,5288
1285,-578,5319
1286,-483,5225
1287,-546,5351
1288,-546,5288
1289,-515,5382
1290,-546,5256
1291,-483,5382
1292,-578,5319
1293,-483,5382
1294,-578,5351
1295,-515,5319
1296,-578,5351
1297,-515,5319
1298,-578,5319
1299,-515,5288
1300,-578,5319
1301,-578,5225
1302,-546,5288
1303,-578,5288
1304,-515,5319
1305,-578,5319
1306,-515,5382
1307,-546,5351
1308,-546,5319
1309,-546,5414
1310,-515,5319
1311,-546,5351
1312,-483,5351
1313,-578,5319
1314,-515,5319
1315,-578,5319
1316,-515,5225
1317,-609,5351
1318,-483,5256
1319,-609,5288
1320,-515,5288
1321,-641,5288
1322,-483,5256
1323,-609,5382
1324,-515,5319
1325,-578,5351
1326,-546,5382
1327,-515,5319
1328,-515,5414
1329,-515,5319
1330,-546,5382
1331,-483,5288
1332,-578,5351
1333,-483,5319
1334,-578,5351
1335,-515,5351
1336,-641,5288
1337,-483,5319
1338,-641,5351
1339,-546,5319
1340,-578,5319
1341,-546,5319
1342,-578,5319
1343,-578,5288
1344,-483,5351
1345,-546,5319
1346,-483,5256
1347,-578,5382
1348,-452,5256
1349,-546,5351
1350,-452,5319
1351,-609,5351
1352,-483,5319
1353,-609,5351
1354,-515,5225
1355,-641,5351
1356,-515,5288
1357,-578,5319
1358,-515,5225
1359,-578,5382
1360,-546,5256
1361,-483,5351
1362,-546,5288
1363,-515,5351
1364,-546,5288
1365,-483,5351
1366,-546,5288
1367,-483,5351
1368,-546,5351
1369,-483,5382
1370,-609,5288
1371,-515,5382
1372,-609,5319
1373,-483,5256
1374,-641,5319
1375,-515,5193
1376,-609,5351
1377,-483,5225
1378,-546,5351
1379,-546,5288
1380,-546,5351
1381,-578,5319
1382,-546,5288
1383,-546,5414
1384,-515,5288
1385,-578,5414
1386,-483,5319
1387,-578,5382
1388,-483,5256
1389,-578,5414
1390,-515,5256
1391,-546,5382
1392,-546,5288
1393,-483,5351
1394,-609,5193
1395,-483,5351
1396,-641,5288
1397,-483,5351
1398,-672,5351
1399,-483,5256
1400,-609,5445
1401,-452,5193
1402,-578,5445
1403,-483,5225
1404,-578,5414
1405,-483,5288
1406,-578,5288
1407,-452,5382
1408,-609,5225
1409,-452,5414
1410,-609,5225
1411,-515,5382
1412,-672,5225
1413,-483,5319
1414,-609,5288
1415,-515,5288
1416,-609,5351
1417,-578,5319
1418,-515,5351
1419,-578,5288
1420,-483,5414
1421,-546,5319
1422,-483,5351
1423,-515,5351
1424,-546,5319
1425,-483,5414
1426,-641,5288
1427,-420,5382
1428,-672,5288
1429,-483,5351
1430,-672,5319
1431,-515,5256
1432,-609,5351
1433,-515,5225
1434,-546,5351
1435,-546,5256
1436,-546,5288
1437,-546,5288
1438,-546,5319
1439,-515,5319
1440,-515,5319
1441,-546,5351
1442,-515,5288
1443,-515,5351
1444,-546,5319
1445,-546,5319
1446,-546,5414
1447,-546,5225
1448,-546,5351
1449,-578,5288
1450,-546,5351
1451,-578,5319
1452,-515,5225
1453,-546,5382
1454,-578,5225
1455,-546,5382
1456,-546,5288
1457,-546,5351
1458,-578,5351
1459,-515,5382
1460,-546,5351
1461,-515,5351
1462,-546,5319
1463,-515,5351
1464,-546,5256
1465,-483,5351
1466,-578,5319
1467,-515,5256
1468,-641,5319
1469,-483,5256
1470,-609,5414
1471,-546,5193
1472,-578,5414
1473,-546,5225
1474,-546,5414
1475,-609,5256
1476,-483,5414
1477,-609,5256
1478,-483,5414
1479,-578,5319
1480,-452,5382
1481,-609,5351
1482,-452,5351
1483,-609,5382
1484,-515,5256
1485,-578,5382
1486,-546,5288
1487,-578,5414
1488,-578,5319
1489,-578,5288
1490,-546,5351
1491,-609,5288
1492,-515,5351
1493,-578,5351
1494,-483,5288
1495,-578,5288
1496,-515,5319
1497,-546,5319
1498,-515,5288
1499,-515,5351
1500,-546,5319
1501,-546,5319
1502,-546,5351
1503,-546,5319
1504,-578,5351
1505,-546,5319
1506,-609,5351
1507,-515,5288
1508,-578,5319
1509,-578,5319
1510,-515,5319
1511,-578,5288
1512,-483,5319
1513,-609,5351
1514,-483,5319
1515,-578,5382
1516,-483,5319
1517,-578,5351
1518,-515,5351
1519,-546,5382
1520,-483,5319
1521,-546,5382
1522,-546,5288
1523,-546,5319
1524,-515,5319
1525,-515,5288
1526,-546,5351
1527,-546,5225
1528,-546,5319
1529,-546,5256
1530,-609,5351
1531,-515,5288
1532,-609,5351
1533,-483,5319
1534,-578,5382
1535,-515,5351
1536,-546,5382
1537,-546,5319
1538,-515,5351
1539,-546,5288
1540,-546,5319
1541,-578,5351
1542,-483,5288
1543,-609,5351
1544,-515,5319
1545,-609,5382
1546,-515,5288
1547,-609,5351
1548,-515,5256
1549,-609,5351
1550,-546,5288
1551,-546,5319
1552,-546,5319
1553,-546,5319
1554,-515,5319
1555,-546,5319
1556,-515,5319
1557,-546,5288
1558,-515,5319
1559,-578,5288
1560,-483,5351
1561,-578,5288
1562,-546,5319
1563,-578,5319
1564,-515,5319
1565,-609,5319
1566,-546,5319
1567,-609,5351
1568,-515,5319
1569,-578,5319
1570,-515,5288
1571,-546,5382
1572,-546,5288
1573,-515,5414
1574,-515,5351
1575,-546,5351
1576,-546,5382
1577,-546,5382
1578,-546,5414
1579,-578,5319
1580,-515,5351
1581,-641,5288
1582,-483,5288
1583,-641,5225
1584,-452,5319
1585,-609,5319
1586,-483,5256
1587,-578,5414
1588,-515,5193
1589,-578,5414
1590,-546,5256
1591,-515,5414
1592,-546,5288
1593,-546,5319
1594,-546,5319
1595,-515,5351
1596,-546,5382
1597,-515,5288
1598,-578,5351
1599,-515,5288
1600,-609,5382
1601,-483,5319
1602,-578,5319
1603,-546,5319
1604,-578,5319
1605,-546,5351
1606,-546,5351
1607,-546,5288
1608,-546,5351
1609,-546,5351
1610,-515,5382
1611,-546,5288
1612,-515,5351
1613,-546,5319
1614,-483,5351
1615,-546,5288
1616,-515,5288
1617,-515,5351
1618,-546,5193
1619,-515,5351
1620,-578,5225
1621,-546,5288
1622,-578,5319
1623,-546,5288
1624,-546,5319
1625,-546,5288
1626,-515,5351
1627,-546,5288
1628,-452,5414
1629,-546,5288
1630,-515,5319
1631,-546,5351
1632,-515,5256
1633,-483,5382
1634,-578,5256
1635,-483,5351
1636,-578,5319
1637,-483,5319
1638,-609,5351
1639,-515,5288
1640,-546,5351
1641,-515,5225
1642,-483,5319
1643,-515,5256
1644,-515,5319
1645,-546,5319
1646,-515,5351
1647,-420,5351
1648,-578,5414
1649,-578,5414
1650,-483,5319
1651,-546,5414
1652,-420,5162
